Date,Open,High,Low,Close,Adj Close,Volume
2023-06-15,75.599998,76.010002,74.820000,75.779999,74.776474,241800
2023-06-16,76.349998,76.360001,74.599998,74.989998,73.996933,376300
2023-06-20,74.800003,75.209999,74.440002,74.629997,73.641693,89800
2023-06-21,74.599998,76.540001,74.139999,75.900002,74.894890,143100
2023-06-22,75.949997,76.029999,75.000000,75.480003,74.480446,116100
2023-06-23,74.959999,76.410004,74.000000,74.089996,73.108849,260200
2023-06-26,74.089996,74.709999,73.459999,73.489998,72.516800,146900
2023-06-27,73.779999,74.690002,73.610001,73.800003,72.822693,116000
2023-06-28,73.639999,73.849998,73.080002,73.559998,72.585869,85400
2023-06-29,73.519997,74.739998,73.199997,74.660004,73.671310,135400
2023-06-30,74.910004,75.449997,73.980003,74.059998,73.079247,112400
2023-07-03,74.059998,74.809998,74.059998,74.199997,73.217392,59100
2023-07-05,74.070000,74.860001,73.180000,74.809998,73.819313,141300
2023-07-06,74.160004,75.639999,74.160004,75.290001,74.292961,110600
2023-07-07,75.629997,75.699997,74.830002,75.489998,74.490311,118500
2023-07-10,75.870003,77.199997,75.870003,76.889999,75.871773,259100
2023-07-11,76.000000,82.000000,75.680000,77.190002,76.167801,382000
2023-07-12,78.099998,78.279999,76.050003,76.709999,75.694153,225300
2023-07-13,76.559998,77.389999,76.150002,76.400002,75.388268,188300
2023-07-14,76.190002,76.389999,74.919998,76.089996,75.082359,107800
2023-07-17,75.860001,78.970001,75.860001,78.190002,77.154556,136400
2023-07-18,78.480003,79.510002,77.820000,78.440002,77.401245,114800
2023-07-19,78.440002,78.690002,77.379997,77.800003,76.769722,163500
2023-07-20,78.099998,78.860001,77.480003,78.830002,77.786079,109400
2023-07-21,79.309998,79.680000,78.459999,78.610001,77.569000,97800
2023-07-24,78.430000,79.250000,78.309998,78.680000,77.638069,110700
2023-07-25,78.419998,79.480003,78.330002,79.279999,78.230125,160500
2023-07-26,79.190002,79.650002,78.910004,79.220001,78.170914,124500
2023-07-27,79.570000,79.739998,78.059998,78.220001,77.184166,130100
2023-07-28,78.519997,79.099998,78.019997,78.449997,77.411110,78300
2023-07-31,78.330002,78.680000,77.470001,77.730003,76.700645,105500
2023-08-01,77.669998,78.209999,77.160004,77.739998,76.710518,99900
2023-08-02,77.050003,78.190002,76.830002,78.120003,77.085487,82700
2023-08-03,77.879997,78.629997,77.580002,78.430000,77.391380,82300
2023-08-04,78.440002,78.830002,77.529999,77.849998,76.819061,68100
2023-08-07,77.800003,78.400002,77.440002,78.209999,77.174286,249900
2023-08-08,77.510002,77.510002,76.669998,77.430000,76.404617,69200
2023-08-09,77.330002,78.000000,76.720001,77.209999,76.187538,131700
2023-08-10,77.250000,77.830002,76.739998,77.160004,76.138206,118400
2023-08-11,76.820000,77.470001,76.800003,77.370003,76.345421,87000
2023-08-14,76.730003,77.059998,76.430000,76.970001,76.404976,158400
2023-08-15,76.870003,77.019997,76.070000,76.739998,76.176659,93300
2023-08-16,76.919998,77.680000,76.019997,76.029999,75.471870,114100
2023-08-17,76.349998,76.610001,75.760002,76.120003,75.561218,121300
2023-08-18,76.220001,77.860001,75.980003,77.809998,77.238808,208500
2023-08-21,77.750000,79.290001,77.750000,79.040001,78.459778,137400
2023-08-22,78.900002,79.320000,78.019997,78.510002,77.933670,116000
2023-08-23,78.510002,80.419998,78.389999,79.919998,79.333321,140900
2023-08-24,79.449997,79.879997,78.250000,78.489998,77.913818,135300
2023-08-25,78.790001,79.250000,78.290001,79.080002,78.499489,86800
2023-08-28,79.139999,80.489998,79.139999,79.629997,79.045448,141500
